行号,物料编码,物料名称,规格,单位,仓库,库存数量,占用数量,可用数量,公司,货位
22,010500001,头盔-秋冬款2XL,2XL,个,宅急送-广州仓,411,39,1693,拉扎斯网络科技（上海）有限公司,A1-001
23,010600001,头盔-17夏款,,个,宅急送-广州仓,3,0,3,拉扎斯网络科技（上海）有限公司,A1-001
24,010500002,头盔-秋冬款L,L,个,上海仓,4856,0,6601,拉扎斯网络科技（上海）有限公司,货位A1-001
25,091200018,小礼品-头盔钥匙扣,200个/箱,箱,宅急送-广州仓,0,0,0,拉扎斯网络科技（上海）有限公司,A1-001
26,010500002,头盔-秋冬款L,L,个,北京仓,2997,0,3306,拉扎斯网络科技（上海）有限公司,货位A1-001
27,010500003,头盔-18夏盔,,个,宅急送-广州仓,2008,85,2167,拉扎斯网络科技（上海）有限公司,A1-001
28,100400004,头盔-秋冬款,1个/箱,箱,宅急送-广州仓,8,0,8,拉扎斯网络科技（上海）有限公司,A1-001
29,010500003,头盔-18夏盔,,个,百世-北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,A1-001
30,100400004,头盔-秋冬款,1个/箱,箱,百世-北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,A1-001
31,010500001,头盔-秋冬款2XL,2XL,个,北京仓,0,130,382,拉扎斯网络科技（上海）有限公司,货位A1-001
32,091200018,小礼品-头盔钥匙扣,200个/箱,箱,上海仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
1,100100001,POLO衫-L-蜂鸟,L,件,北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
2,100100020,雨衣-L-蜂鸟,L,件,上海仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
3,100100021,雨衣-XL-蜂鸟,XL,件,上海仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
4,100100022,雨衣-XXL-蜂鸟,XXL,件,上海仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
5,100100027,夏季防晒服-XXXXL-蜂鸟,XXXXL,件,上海仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
6,100100026,夏季防晒服-XXXL-蜂鸟,XXXL,件,上海仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
7,100100023,夏季防晒服-L-蜂鸟,L,件,上海仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
8,100100024,夏季防晒服-XL-蜂鸟,XL,件,上海仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
9,100100025,夏季防晒服-XXL-蜂鸟,XXL,件,上海仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
10,100100003,POLO衫XXL-蜂鸟,XXL,件,上海仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
11,100100018,POLO衫-XXXXL-蜂鸟,XXXXL,件,上海仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
12,100100024,夏季防晒服-XL-蜂鸟,XL,件,广州仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
13,100100025,夏季防晒服-XXL-蜂鸟,XXL,件,广州仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
14,100100023,夏季防晒服-L-蜂鸟,L,件,广州仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
15,200100040,蜂鸟雨衣L,L,件,上海仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
16,200600001,蜂鸟外卖箱,,个,北京仓,384,0,521,拉扎斯网络科技（上海）有限公司,货位A1-001
17,200100030,T恤-L-蜂鸟,L,件,广州仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
18,200100033,T恤-XXXL-蜂鸟,XXXL,件,广州仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
19,200100032,T恤-XXL-蜂鸟,XXL,件,广州仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
20,200100031,T恤-XL-蜂鸟,XL,件,广州仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
21,100100030,秋装-XL-蜂鸟,XL,件,北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
22,100100031,秋装-XXL-蜂鸟,XXL,件,北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
23,100100032,秋装-XXXL-蜂鸟,XXXL,件,北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
24,100100027,夏季防晒服-XXXXL-蜂鸟,XXXXL,件,北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
25,100100026,夏季防晒服-XXXL-蜂鸟,XXXL,件,北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
26,100100023,夏季防晒服-L-蜂鸟,L,件,北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
27,100100024,夏季防晒服-XL-蜂鸟,XL,件,北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
28,100100025,夏季防晒服-XXL-蜂鸟,XXL,件,北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
29,100100020,雨衣-L-蜂鸟,L,件,北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
30,100100021,雨衣-XL-蜂鸟,XL,件,北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
31,100100002,POLO衫-XL-蜂鸟,XL,件,北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
32,100100003,POLO衫XXL-蜂鸟,XXL,件,北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
33,100100018,POLO衫-XXXXL-蜂鸟,XXXXL,件,北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
34,100100004,POLO衫-XXXL-蜂鸟,XXXL,件,北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
35,100100040,冬装-XXXXL-蜂鸟,XXL,件,北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
36,200100030,T恤-L-蜂鸟,L,件,上海仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
37,200100031,T恤-XL-蜂鸟,XL,件,上海仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
38,200100032,T恤-XXL-蜂鸟,XXL,件,上海仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
39,200100033,T恤-XXXL-蜂鸟,XXXL,件,上海仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
40,100100030,秋装-XL-蜂鸟,XL,件,上海仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
41,100100031,秋装-XXL-蜂鸟,XXL,件,上海仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
42,200600001,蜂鸟外卖箱,,个,广州仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
43,200100030,T恤-L-蜂鸟,L,件,北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
44,200100033,T恤-XXXL-蜂鸟,XXXL,件,北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
45,200100032,T恤-XXL-蜂鸟,XXL,件,北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
46,200100031,T恤-XL-蜂鸟,XL,件,北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
47,200100039,马甲-XXL-蜂鸟,XXL,件,上海仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
48,200100038,马甲-XL-蜂鸟,XL,件,上海仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
49,100100031,秋装-XXL-蜂鸟,XXL,件,广州仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
50,100100029,秋装-L-蜂鸟,L,件,上海仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
51,100100032,秋装-XXXL-蜂鸟,XXXL,件,上海仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
52,100100033,秋装-XXXXL-蜂鸟,XXXXL,件,上海仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
53,100100029,秋装-L-蜂鸟,L,件,北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
54,100100029,秋装-L-蜂鸟,L,件,广州仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
55,100100030,秋装-XL-蜂鸟,XL,件,广州仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
56,100100032,秋装-XXXL-蜂鸟,XXXL,件,广州仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
57,100100033,秋装-XXXXL-蜂鸟,XXXXL,件,广州仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
58,200600001,蜂鸟外卖箱,,个,上海仓,0,0,587,拉扎斯网络科技（上海）有限公司,货位A1-001
59,200100038,马甲-XL-蜂鸟,XL,件,北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
60,200100039,马甲-XXL-蜂鸟,XXL,件,北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
61,200100038,马甲-XL-蜂鸟,XL,件,广州仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
62,200100039,马甲-XXL-蜂鸟,XXL,件,广州仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
63,200200015,腰包-蜂鸟,,个,上海仓,51,0,51,拉扎斯网络科技（上海）有限公司,货位A1-001
